QuestName,QuestID
借來莎麗的鏡子,1000
給希娜弄來鏡子,1001
桑想吃的是什麼？,1003
回到妮娜的住所,1004
交給長老的信件,1005
長老的回信,1006
比格斯的物品收集,1007
皮奧資源回收,1008
瑞恩的測驗1,1009
瑞恩的測驗2,1010
瑞恩的測驗3,1011
瑞恩的測驗4,1012
瑞恩的測驗5,1013
瑞恩的測驗6,1014
瑞恩的測驗7,1015
麥加的修煉,1016
麥加的最後一次修煉,1017
扥德的打獵方法,1018
桑姆的考驗,1019
皮奧資源回收利用,1020
羅傑與蘋果,1021
路卡斯的可愛女兒,1022
消滅肥肥,1023
解決愛情的煩惱?!,1024
瑪麗亞的營養果汁,1025
將營養果汁轉交給桑克斯,1026
麥加的委託,1027
朝維多利亞港前進,1028
桑姆的建議,1029
瑪麗亞的地圖指示,1030
希娜與莎麗,1031
妮娜的弟弟桑,1032
桑想吃的東西,1033
美味的磨菇糖果,1034
扥德的打獵方法,1035
萬事通羅賓,1036
協助嫩寶狩獵,1037
瑪麗亞的信,1038
幫助尤娜,1039
長老的介紹,1040
麥加的第一個修煉,1041
麥加的第二個修煉,1042
麥加的第三個修煉,1043
麥加的最後一次修煉,1044
白瑞德的測試,1045
比格斯的維多利亞故事,1046
怪物圖鑑制定怪物效果,1047
推薦職業　,1048
戰士轉職,1049
法師轉職,1050
弓箭手轉職,1051
盜賊轉職,1052
海盜轉職,1053
皇家騎士團,1054
你知道拼圖嗎？- 拼圖盒,1058
你知道拼圖嗎？- 裝備拼圖,1059
不見的拼圖碎片,1060
瑪亞愛情象徵,1115
精靈羅雯愛情象徵,1116
義安愛情象徵,1117
內拉愛情象徵,1118
艾利遜愛情象徵,1119
提根愛情象徵,1120
妙斯愛情象徵,1121
潘姆愛情象徵,1122
韓泰秀愛情象徵,1123
吉優勒愛情象徵,1124
[婚禮] 30天誓約典禮說明,1125
[婚禮] 100天誓約典禮說明,1126
[組隊任務] 時空的裂縫,1202
[組隊任務] 金勾海賊王,1204
[組隊任務] 羅密歐和茱麗葉,1205
[組隊任務] 侏儒帝王的復活,1209
[組隊任務] 龍騎士,1210
[戰鬥目錄] 奈特的金字塔,1211
[戰鬥目錄] 林車長的地鐵站,1212
[戰鬥目錄] 武陵道場,1213
[組隊任務] 陷入危險的坎特,1214
[組隊任務] 逃脫,1215
[組隊任務] 冰騎士的詛咒,1218
[組隊任務] 瑪斯特利亞的祭壇,1221
[組隊任務]世界統合組隊任務,1222
[競爭目錄] 怪物擂台賽,1301
[競爭目錄] 怪物擂台賽II,1302
[競爭目錄] 霧之海的鬼盜船,1303
[Boss目錄] 魔王巴洛古,1304
[Boss目錄] 獅子王凡雷恩,1305
[Boss目錄] 殘暴炎魔,1306
[Boss目錄] 海怒斯,1307
[Boss目錄] 拉圖斯,1308
[Boss目錄] 闇黑龍王,1309
[Boss目錄] 皮卡啾,1310
[主題副本] 菇菇王國,1311
[主題副本] 墮落廣場百貨公司,1312
[主題副本] 奈歐市,1313
[主題副本] 克里塞,1314
[Boss目錄] 軍團長阿卡伊農,1315
[Boss目錄] 希拉,1316
[特殊]奇怪畫廊,1317
[主題副本] 奇幻主題樂園,1318
[競爭內容]大亂鬥,1319
[特殊]進化系統,1321
[特殊]次元入侵,1322
[主題副本] 地上樂園黃金海岸,1326
[組隊任務] 湯寶寶的烹飪教室,1327
[主題副本]妖精學院,1328
[競爭內容]納希競技大會,1329
[主題副本]里艾那海峽,1330
[Boss目錄]梅格耐斯,1331
[Boss目錄]西格諾斯,1332
[Boss目錄]貝倫,1333
[Boss目錄]血腥女王,1334
[Boss目錄]比艾樂,1335
[Boss目錄]斑斑,1336
[主題副本]櫻花城,1337
[主題副本]黃金寺廟,1338
[主題副本] 克林森烏德城,1339
[主題副本] 岩壁巨人 克洛宿斯,1340
[主題副本]艾靈森林,1341
[特殊]阿斯旺反抗戰,1342
[特殊]怪物公園,1343
[特殊]十字獵人,1344
[主題副本]黃昏的勇士之村,1345
[主題副本]次元圖書館,1346
[特殊] 露塔必思,1349
楓之谷聯合會議場,1350
[主題副本]天龍地虎,1353
[特別]怪物公園,1354
五種冒險的方法,1400
如果想要轉職為劍士的話，請前往勇士之村,1401
想要變成法師的話，請前往魔法森林,1402
如果想要轉職為弓箭手的話，請前往弓箭手村,1403
如果想要變成盜賊的話，請前往墮落城市,1404
如果想要轉職為海盜請前往鯨魚號,1405
劍士的三條路,1410
狂戰士之路,1411
見習騎士之路,1412
槍騎兵之路,1413
法師的三條路,1414
巫師(火， 毒)之路,1415
巫師(冰， 雷)之路,1416
僧侶之路,1417
弓箭手的兩條道路,1418
獵人之路,1419
弩弓箭手之路,1420
盜賊的兩條道路,1421
刺客之路,1422
俠盜之路,1423
海盜的兩條道路,1424
打手之路,1425
槍手之路,1426
砲兵之路1,1427
重砲兵之路2,1428
冰原雪域的長老,1430
十字軍,1431
騎士,1432
嗜血狂騎,1433
冰原雪域的長老,1434
魔導士(火， 毒),1435
魔導士(冰，雷),1436
祭司,1437
冰原雪域的長老,1438
遊俠,1439
狙擊手,1440
冰原雪域的長老,1441
暗殺者,1442
神偷,1443
冰原雪域的長老,1444
格鬥家,1445
神槍手,1446
隱忍,1447
重砲兵隊長,1448
強者終點,1450
真正的冒險家,1451
強者終點,1452
真正的冒險家,1453
強者終點,1454
真正的冒險家,1455
強者終點,1456
真正的冒險家,1457
強者終點,1458
真正的冒險家,1459
5轉：艾爾達斯的呼喚,1460
5轉：祝福女神的庇佑與你同在,1461
楓之谷世界的神秘石,1462
格蘭蒂斯的神秘石,1463
克拉奇亞的神秘石,1464
5轉：紀錄力量，完成覺醒,1465
全新的力量，神秘力量,1466
楓之谷世界的神秘石活化完成！,1474
格蘭蒂斯的神秘石活化完成！,1475
馬斯特利亞的神秘石活化完成！,1476
V矩陣,1478
凝視者的禮物,1479
5轉：挑戰新力量所需的準備,1481
[黑魔法師] 為了對抗黑魔法師的全新力量,1482
凝視者的禮物,1483
另一種力量，真實力量,1484
疑問的痕跡,1500
痕跡的調查,1501
黑魔法師的軍團長1,1502
黑魔法師的軍團長2,1503
危險的警告,1504
赫麗娜的決心,1505
聯盟的誕生,1507
尤莉亞的預言,1508
聯盟的開始,1509
聯盟的開始,1510
聯盟的開始,1511
聯盟的開始,1512
聯盟的開始,1513
聯盟的開始,1514
狂豹獵人的覺醒,1515
機甲戰神的覺醒,1516
煉獄巫師覺醒,1517
狂狼勇士的覺醒,1518
寶貝龍的覺醒,1519
冒險家的覺醒,1521
皇家騎士團的覺醒,1522
[大亂鬥] 入學證書 - 精英守衛養成所,1530
破壞的塔,1531
爆發原因?,1532
紅光的時空門,1533
靠近的黑暗,1534
[大亂鬥] 危機的耶雷弗,1535
[大亂鬥] 盛大戰鬥開幕！,1536
[大亂鬥] 基礎訓練,1537
[大亂鬥] 最精銳兵的選拔大會,1538
[大亂鬥] 中斷的訓練,1539
相互的思念,1542
[十字獵人]S.O.S.要求,1600
[十字獵人]偶然？必然！,1601
[十字獵人]奇妙的女子,1602
前往遺跡發掘現場！,1603
除掉遺跡發掘地的阻礙,1604
除掉遺跡發掘地的阻礙2,1605
黑暗氣息,1606
[十字獵人]奇怪的女子和奇怪的通道,1607
[十字獵人]另一個空間,1608
史菲魯納的邀請,1609
出現在雲彩公園的藍色光通道,1610
精靈們的女王,1611
孤獨的獵人,1612
雪原的暴君,1613
玩具槍黑騎士,1614
孽緣,1615
[十字獵人]雪莉的提議,1616
[十字獵人]十字獵人,1617
[十字獵人]十字獵人的新成員,1618
[十字獵人] 納希沙漠派遣,1619
[十字獵人]第一個任務,1620
[十字獵人] 第二個任務,1621
[十字獵人] 不愉快的見面,1622
[十字獵人] 實驗館裡的惡魔,1623
[十字獵人] 不歡迎的同行,1624
[十字獵人]急襲,1625
[十字獵人]卡帕萊特研究所調查,1626
[十字獵人] 禁止的被造物,1627
[十字獵人]研究所的爆發裝置,1628
[十字獵人]逐漸增強的黑暗氣息,1629
[十字獵人]解不開的問題,1630
[十字獵人] 新種的出現?,1631
[十字獵人] 神木村得兩大山脈,1632
[十字獵人]矮人族的協助要求,1633
[十字獵人]新國王的真實身份,1634
[十字獵人]矮人族的無力症,1635
[十字獵人]向依托問安,1636
[十字獵人]業務報告,1637
[十字獵人]時間的神官阿卡伊農,1638
[十字獵人]新的裂縫,1639
稱號-見習十字獵人,1644
稱號-正式十字獵人,1645
稱號-專業十字獵人,1646
稱號-十字獵人大師,1647
[十字獵人] 轉達特殊任務,1653
[十字獵人] 侵入玩具村莊的黑暗,1654
[十字獵人] 鐘塔上所傳來的胎葉聲音,1655
[十字獵人] 雪原上的孤單獵人,1656
[十字獵人] 不淨的屍體們的司祭,1657
[十字獵人] 弄亂仙山的人,1658
[十字獵人] 邪惡的神仙,1659
[十字獵人] 噴煙的蜈蚣,1660
[十字獵人] 鐘塔更深處的混亂,1661
[十字獵人]時間裡怪僻的存在,1662
[十字獵人] A級獵人之路,1663
[十字獵人] 發生危急的情況,1664
[十字獵人] 千鈞一髮！,1665
[十字獵人] 殘暴的海王,1666
[十字獵人] 不間斷的危機,1667
[十字獵人] 綠色森林的暴君,1668
[十字獵人] 傳說的獵人,1669
[十字獵人] 飛到天空的鯨魚,1670
[十字獵人] 盤繞著萬年寒霜的獨角獸,1671
[十字獵人] 帶著黃金蹄的黃牛,1672
[十字獵人] 繼承傳說,1673
[十字獵人] S級獵人之路,1674
[十字獵人] 十字獵人UI使用方法,1675
[降魔十字軍] 神秘戰地的發生,1676
[降魔十字軍] 擊退神秘的殘暴炎魔,1677
[降魔十字軍] 擊退神秘的闇黑龍王,1678
[降魔十字軍] 擊退神秘的凡雷恩,1679
[降魔十字軍] 擊退神秘的希拉,1680
[降魔十字軍] 擊退神秘的阿卡伊農,1681
[降魔十字軍] 阻止神秘戰地的擴散,1682
[降魔十字軍] 神秘的能量的殘骸,1684
[降魔十字軍] 神秘戰地研究人員,1686
神秘凡雷恩之惡夢,1688
神秘阿卡伊農之惡夢,1689
神秘希拉之惡夢,1690
神秘殘暴炎魔之惡夢,1691
神秘闇黑龍王之惡夢,1692
[十字獵人] 再次出現的神秘場地,1693
[十字獵人] 神秘能量的殘骸,1694
[十字獵人] 神秘場地大師,1695
休菲凱曼的畫廊開張,1700
季節連載鑑賞,1701
無法發表的作品,1702
隱密的訂單,1710
製作油油亮亮的鬍子,1711
遺失物,1712
確認宅配箱子,1713
休菲凱曼的新鬍子,1714
帥哥的必需品,1715
製作閃亮亮鬍子,1716
雅莉達的肖像畫,1720
畫肖像畫,1721
為了她的禮物1,1722
編織絲綢,1723
為了她的禮物2,1724
取得寶石,1725
謁見,1726
為了噴火龍蛋的巢穴,1730
看守著蛋吧！,1731
需要維持溫度！,1732
莫名其妙的誕生,1733
照顧幼虎1,1734
照顧幼虎2,1735
雪山的遇難者,1740
覆蓋著雪的峽谷,1741
取得食物吧,1742
聞到味道的野狼,1743
尋找脫離的方法吧,1744
製作繩子,1745
脫離,1746
[進化系統] 奇怪的動作,1800
[進化系統] 剩下的人,1801
[進化系統] 傑利麥勒的地下研究室,1802
[進化系統] 研究室探索,1803
[進化系統] 進化系統,1804
[進化系統] 假想世界1,1805
[進化系統] 假想世界2,1806
[進化系統] 我所創造的世界,1807
[改善系統] Link6連接錯誤,1810
[改善系統] Link7連接錯誤,1811
[改善系統] Link8連接錯誤,1812
[改善系統] Link9連接錯誤,1813
[改善系統] 系統的進化,1814
[改善系統] 加速器,1815
[基礎程序] 暖身,1820
[強化程序] 偽裝術,1821
[強化程序] 偽裝術,1822
[強化程序] 提升爆發力,1823
[強化程序] Speed Up,1824
[強化程序] 提升校準技術,1825
[強化程序] 提升敏捷度,1826
[強化程序] 情況應對能力,1827
[強化程序] 提升分辨力,1828
[強化程序] 強化戰鬥力,1829
[選擇程序]  Hard難易度挑戰,1833
[選擇程序]  掌握弱點,1834
[選擇程序]  臨時能源供給,1836
[選擇程序]  怪物強化模型,1837
[選擇程序]  打倒影子怪物,1838
稱號挑戰 - 進化系統Master,1841
稱號 - 進化系統Master,1843
[進化系統] 消失的殺人鯨,1845
[進化系統] 殺人鯨的行蹤？,1846
[進化系統] 系統強化模式1,1847
[進化系統] 系統強化模式2,1848
修理酋長的家,2000
酋長蓋房子,2001
維多利亞港的特奧,2002
尋找索非亞,2003
閃耀石頭的材料,2004
變異菇菇的血,2005
獲得變異菇菇的血,2006
製作閃耀的石頭,2007
遞送奇怪的藥水,2008
皮亞和藍菇菇,2009
珍和黑肥肥,2010
珍的第一個挑戰,2011
珍的第二個挑戰,2012
珍的最後一個挑戰,2013
阿勒斯的請託,2014
說服長老斯坦,2015
母親的金錶,2016
艾溫的玻璃鞋,2017
迷宮入口的守衛兵，魯克,2018
神秘書的線索,2019
饑餓的洛尼,2020
特製烤鰻魚,2021
新鮮的牛奶,2022
找回神秘書,2023
收集50個詛咒娃娃,2024
收集70個詛咒娃娃,2025
收集100個詛咒娃娃,2026
收集150個詛咒娃娃,2027
收集200個詛咒娃娃,2028
瑪帕的請託,2029
休咪的請託,2030
安德里亞的請託,2031
銘仁的請託,2032
克利思的請託,2033
曼斯塔的請託,2034
守衛兵魯克的決心,2035
蓋新房子所需的第一個材料,2036
蓋新房子所需的第二個材料,2037
收集需要的第一個材料,2038
蓋新房子所需的最後一個材料,2039
